"ID","Date","Max_temp","Mean_temp","Min_temp"
1,"1948-07-01","84   ","78   ","72   "
2,"1948-07-02","82   ","72   ","63   "
3,"1948-07-03","78   ","71   ","64   "
4,"1948-07-04","84   ","76   ","68   "
5,"1948-07-05","93   ","82   ","70   "
6,"1948-07-06","91   ","82   ","72   "
7,"1948-07-07","73   ","66   ","60   "
8,"1948-07-08","84   ","72   ","61   "
9,"1948-07-09","81   ","72   ","64   "
10,"1948-07-10","82   ","73   ","64   "
11,"1948-07-11","82   ","75   ","68   "
12,"1948-07-12","82   ","76   ","69   "
13,"1948-07-13","79   ","74   ","70   "
14,"1948-07-14","84   ","77   ","70   "
15,"1948-07-15","80   ","74   ","68   "
16,"1948-07-16","79   ","71   ","63   "
17,"1948-07-17","73   ","68   ","64   "
18,"1948-07-18","80   ","75   ","70   "
19,"1948-07-19","84   ","78   ","71   "
20,"1948-07-20","84   ","76   ","69   "
21,"1948-07-21","82   ","76   ","71   "
22,"1948-07-22","78   ","74   ","71   "
23,"1948-07-23","79   ","75   ","71   "
24,"1948-07-24","80   ","74   ","68   "
25,"1948-07-25","81   ","74   ","66   "
26,"1948-07-26","80   ","74   ","68   "
27,"1948-07-27","81   ","76   ","71   "
28,"1948-07-28","89   ","81   ","73   "
29,"1948-07-29","89   ","80   ","71   "
30,"1948-07-30","82   ","76   ","71   "
31,"1948-07-31","88   ","82   ","75   "
32,"1948-08-01","75   ","72   ","70   "
33,"1948-08-02","78   ","73   ","68   "
34,"1948-08-03","73   ","70   ","66   "
35,"1948-08-04","75   ","72   ","70   "
36,"1948-08-05","72   ","69   ","66   "
37,"1948-08-06","73   ","68   ","64   "
38,"1948-08-07","78   ","68   ","59   "
39,"1948-08-08","75   ","68   ","61   "
40,"1948-08-09","81   ","72   ","63   "
41,"1948-08-10","79   ","70   ","62   "
42,"1948-08-11","79   ","70   ","61   "
43,"1948-08-12","75   ","72   ","69   "
44,"1948-08-13","81   ","75   ","69   "
45,"1948-08-14","82   ","74   ","66   "
46,"1948-08-15","88   ","76   ","64   "
47,"1948-08-16","84   ","75   ","66   "
48,"1948-08-17","79   ","72   ","64   "
49,"1948-08-18","73   ","68   ","64   "
50,"1948-08-19","79   ","74   ","69   "
51,"1948-08-20","72   ","70   ","68   "
52,"1948-08-21","79   ","72   ","66   "
53,"1948-08-22","77   ","70   ","64   "
54,"1948-08-23","78   ","71   ","64   "
55,"1948-08-24","79   ","72   ","66   "
56,"1948-08-25","93   ","82   ","71   "
57,"1948-08-26","99   ","87   ","75   "
58,"1948-08-27","99   ","88   ","77   "
59,"1948-08-28","95   ","87   ","79   "
60,"1948-08-29","95   ","87   ","79   "
61,"1948-08-30","89   ","81   ","73   "
62,"1948-08-31","82   ","76   ","66   "
63,"1948-09-01","75   ","66   ","57   "
64,"1948-09-02","75   ","67   ","59   "
65,"1948-09-03","75   ","70   ","64   "
66,"1948-09-04","77   ","70   ","63   "
67,"1948-09-05","79   ","72   ","64   "
68,"1948-09-06","78   ","70   ","62   "
69,"1948-09-07","78   ","71   ","64   "
70,"1948-09-08","79   ","72   ","66   "
71,"1948-09-09","80   ","75   ","70   "
72,"1948-09-10","73   ","68   ","63   "
73,"1948-09-11","75   ","68   ","61   "
74,"1948-09-12","81   ","72   ","64   "
75,"1948-09-13","80   ","74   ","69   "
76,"1948-09-14","81   ","74   ","66   "
77,"1948-09-15","73   ","64   ","55   "
78,"1948-09-16","70   ","62   ","55   "
79,"1948-09-17","70   ","60   ","51   "
80,"1948-09-18","84   ","74   ","64   "
81,"1948-09-19","82   ","74   ","66   "
82,"1948-09-20","79   ","72   ","66   "
83,"1948-09-21","73   ","68   ","60   "
84,"1948-09-22","71   ","60   ","50   "
85,"1948-09-23","70   ","60   ","50   "
86,"1948-09-24","64   ","60   ","55   "
87,"1948-09-25","70   ","64   ","57   "
88,"1948-09-26","70   ","60   ","50   "
89,"1948-09-27","75   ","62   ","48   "
90,"1948-09-28","81   ","68   ","55   "
91,"1948-09-29","80   ","68   ","57   "
92,"1948-09-30","73   ","68   ","63   "
93,"1948-10-01","75   ","69   ","63   "
94,"1948-10-02","78   ","70   ","61   "
95,"1948-10-03","66   ","60   ","52   "
96,"1948-10-04","62   ","53   ","44   "
97,"1948-10-05","57   ","54   ","50   "
98,"1948-10-06","68   ","58   ","48   "
99,"1948-10-07","70   ","64   ","57   "
100,"1948-10-08","66   ","62   ","57   "
101,"1948-10-09","63   ","58   ","52   "
102,"1948-10-10","69   ","62   ","55   "
103,"1948-10-11","64   ","63   ","61   "
104,"1948-10-12","66   ","60   ","54   "
105,"1948-10-13","63   ","56   ","50   "
106,"1948-10-14","60   ","54   ","48   "
107,"1948-10-15","62   ","56   ","50   "
108,"1948-10-16","62   ","52   ","42   "
109,"1948-10-17","66   ","60   ","55   "
110,"1948-10-18","60   ","50   ","39   "
111,"1948-10-19","50   ","42   ","33   "
112,"1948-10-20","52   ","48   ","43   "
113,"1948-10-21","52   ","44   ","37   "
114,"1948-10-22","55   ","47   ","39   "
115,"1948-10-23","57   ","50   ","44   "
116,"1948-10-24","51   ","48   ","46   "
117,"1948-10-25","54   ","51   ","48   "
118,"1948-10-26","66   ","57   ","48   "
119,"1948-10-27","66   ","56   ","46   "
120,"1948-10-28","62   ","53   ","44   "
121,"1948-10-29","66   ","57   ","46   "
122,"1948-10-30","64   ","52   ","41   "
123,"1948-10-31","66   ","55   ","44   "
124,"1948-11-01","61   ","56   ","50   "
125,"1948-11-02","55   ","50   ","44   "
126,"1948-11-03","60   ","52   ","43   "
127,"1948-11-04","62   ","60   ","57   "
128,"1948-11-05","62   ","60   ","57   "
129,"1948-11-06","66   ","63   ","60   "
130,"1948-11-07","64   ","57   ","48   "
131,"1948-11-08","57   ","50   ","44   "
132,"1948-11-09","62   ","53   ","44   "
133,"1948-11-10","64   ","58   ","52   "
